Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
068eef5f-34ae-7fc9-6c6c-a5af808089dc,2001-10-24,,999-36-1902,S99958094,X12578534X,Mr.,Boyce,Prosacco,,,,white,nonhispanic,M,Fall River  Massachusetts  US,769 Kreiger Highlands,Dalton,Massachusetts,Berkshire County,,00000,42.439408468991715,-73.1200449488374,22732.92,6195.64,596933
0e11fbdf-a5f4-75fd-241c-039c9d4eedb2,2007-04-25,,999-99-9488,,,,Brett,Lang,,,,black,nonhispanic,M,Worcester  Massachusetts  US,869 Bauch Mission,Agawam,Massachusetts,Hampden County,25013,01001,42.04749444542543,-72.6713384976972,19235.01,12832.62,586225
d256c267-78f9-399c-982e-f0d076a840ab,1980-10-22,,999-61-5918,S99998528,X71276385X,Mrs.,Evelin,Simonis,,Hamill,M,white,nonhispanic,F,Stoneham  Massachusetts  US,510 Rice Viaduct,Randolph,Massachusetts,Norfolk County,25021,02368,42.16365527471044,-71.04040999892413,56047.18,1062359.44,61061
30c4035b-c694-c496-d900-f41c1b5f3c4a,1995-11-14,,999-57-7301,S99999090,X51964051X,Mrs.,Shirl,Nicolas,,Mueller,M,white,nonhispanic,F,Oak Bluffs  Massachusetts  US,311 Zemlak Gateway,Lincoln,Massachusetts,Middlesex County,,00000,42.446828236187756,-71.31758073656762,32720.32,217437.87,133290
d540605c-5a99-f35f-af8f-642ab8b3f135,2005-09-25,,999-31-6246,S99992754,,,Brain,Schuppe,,,,white,nonhispanic,M,Sterling  Massachusetts  US,648 Langworth Rest,Cohasset,Massachusetts,Norfolk County,,00000,42.22786304228993,-70.77311887662968,18620.07,71109.47,57550
f716f568-5c13-2f2c-74c2-903cf9d03581,1994-04-16,,999-80-7300,S99936473,X57001783X,Mr.,Jean,Dicki,,,S,white,nonhispanic,M,Randolph  Massachusetts  US,859 Gleason Mill Apt 88,Orleans,Massachusetts,Barnstable County,25001,02653,41.818852146695505,-69.93275234852636,37121.70,94393.57,746099
6dc10958-354c-fd5c-6d82-cd6cb9563351,1977-09-19,,999-73-2880,S99946074,X66542204X,Mrs.,Clara,Armijo,,Zapata,M,white,hispanic,F,Juarez  Chihuahua  MX,978 Lind Highlands,Methuen,Massachusetts,Essex County,25009,01841,42.75440794805241,-71.1632782900955,54371.94,784866.47,128905
c3921370-2123-37d6-9131-bd8780d1e91a,1977-07-30,,999-64-2282,S99937115,X89072538X,Mr.,Gonzalo,Rosenbaum,,,M,white,nonhispanic,M,Springfield  Massachusetts  US,861 Zemlak Mall,Longmeadow,Massachusetts,Hampden County,25013,01106,42.04239096204792,-72.60823408752626,36127.12,174498.95,133883
8956dd9b-23ae-7def-b0c8-b1caaa8fb7b0,1964-06-29,,999-44-2617,S99955365,X39273352X,Mr.,Art,Ruecker,,,M,white,nonhispanic,M,Newton  Massachusetts  US,829 Heller Fork,Hinsdale,Massachusetts,Berkshire County,,00000,42.41709620120233,-73.12817158216237,62548.31,755005.77,97339
eb3645de-779f-cc53-298b-4bc08f704c22,1981-03-13,,999-73-6803,S99988666,X51097522X,Mrs.,Brandon,Grimes,,Bahringer,M,white,nonhispanic,F,Greenfield  Massachusetts  US,248 Schuster Trafficway Unit 45,Randolph,Massachusetts,Norfolk County,25021,02368,42.2214874276184,-71.02656734081141,16802.83,1286379.31,10906
cc2d950a-773e-c820-c1ce-9b957a6ec4b3,1979-04-22,,999-58-4761,S99914591,X2428798X,Ms.,Jinny,Brakus,,,S,asian,nonhispanic,F,Brockton  Massachusetts  US,646 Schaefer Center Unit 25,Peabody,Massachusetts,Essex County,25009,01960,42.566124973508934,-70.96288945899482,59373.07,853839.81,119134
505fadc5-b712-094f-692f-f341cd5bd3d9,1964-07-13,,999-51-3208,S99986625,X73112840X,Mrs.,Idell,Wiza,,Goldner,M,white,nonhispanic,F,Methuen  Massachusetts  US,1005 Muller Course,Agawam,Massachusetts,Hampden County,25013,01030,42.065826678574794,-72.65103588367636,82161.96,1052015.15,60494
4685bbda-c966-4f07-a027-d6a27260bd21,1982-04-06,,999-47-4744,S99916598,X17720749X,Mr.,Hugo,Beahan,,,M,black,nonhispanic,M,Saugus  Massachusetts  US,1084 Bauch Crossroad Unit 46,Wayland,Massachusetts,Middlesex County,,00000,42.40229638062964,-71.34527687735503,41287.13,53235.88,54700
bdff8492-1d47-026e-5af9-3c72fbe6ec1d,1994-07-30,,999-98-5410,S99991063,X67285314X,Mr.,Nestor,Hilll,,,M,white,nonhispanic,M,Spencer  Massachusetts  US,739 Harber Underpass,Andover,Massachusetts,Essex County,25009,01810,42.62231918901727,-71.2017239476,24649.94,12667.69,157226
e644a0d4-2815-7336-c7cd-e9cb72ce9471,1978-12-29,,999-79-3785,S99949074,X16559933X,Mr.,Alec,Weber,,,M,white,hispanic,M,Weymouth  Massachusetts  US,736 Crooks Road Apt 74,Natick,Massachusetts,Middlesex County,,00000,42.24608209629751,-71.39249796240982,37294.37,69590.00,61638
ce50bcbc-7a84-bd60-c08d-306c7ac2008f,1978-03-19,,999-97-8890,S99984411,X61483453X,Mr.,Fletcher,Abernathy,,,M,black,nonhispanic,M,Winchester  Massachusetts  US,376 Stiedemann Terrace,Clinton,Massachusetts,Worcester County,25027,01510,42.370195160525334,-71.70587867081937,55700.67,18596.26,43405
6403cf7e-f9ca-7bb3-9f60-4a4a4e656e3d,1994-05-21,,999-34-7777,S99980161,X41458324X,Mrs.,Lashaunda,Lubowitz,,Collier,M,white,nonhispanic,F,Worcester  Massachusetts  US,952 Spencer Well Suite 65,Andover,Massachusetts,Essex County,25009,01810,42.67240823902681,-71.20156174403272,41950.20,578490.35,888406
8f665a48-ca09-a2c0-6c68-c496a3b45503,1976-05-08,,999-82-6591,S99933542,X57206011X,Mrs.,Karisa,Kuhn,,Howe,M,white,nonhispanic,F,New Bedford  Massachusetts  US,962 Marquardt Trafficway Unit 58,Spencer,Massachusetts,Worcester County,25027,01562,42.29298467513917,-72.00452195060276,12710.92,988719.88,10935
999d6aff-9bd8-c466-12aa-82494b55c219,1998-05-14,,999-14-3544,S99992042,X60608842X,Mr.,Cedric,Rice,,,,white,nonhispanic,M,Boston  Massachusetts  US,268 O'Hara Meadow Suite 37,Norfolk,Massachusetts,Norfolk County,,00000,42.105453136084805,-71.28412580677683,31366.16,370063.84,76688
7dd5703e-3c74-4b3a-90bc-2b32033f0179,1967-01-28,,999-88-2563,S99997199,X17782528X,Mr.,Robbie,Brown,,,M,white,nonhispanic,M,East Falmouth  Massachusetts  US,972 Cremin Street Suite 52,Quincy,Massachusetts,Norfolk County,25021,02171,42.25404448398032,-70.99799697759408,47207.52,1434.73,47049
2660f0dc-f6c5-e2a2-2266-3aca677caab9,1965-12-23,,999-56-7778,S99931842,X12661759X,Mr.,Delbert,Collins,,,M,white,nonhispanic,M,Weymouth  Massachusetts  US,849 Rosenbaum Skyway,Malden,Massachusetts,Middlesex County,25017,02148,42.388269743780704,-71.09244172717229,7244.98,162906.96,14376
a92cce4d-3637-f91e-a773-61524573db88,2003-02-25,,999-73-3817,S99995190,,Mr.,Alejandro,Hammes,,,,black,nonhispanic,M,Chesterfield  Massachusetts  US,989 Wolf Well Unit 59,Boston,Massachusetts,Suffolk County,25025,02125,42.376061745967704,-71.0227322305966,25680.87,724350.99,62883
f612feb0-60df-e2c0-dbac-5d35f91a6beb,2006-10-31,,999-29-6806,S99925091,,,Dave,Schaefer,,,,other,nonhispanic,M,Yarmouth  Massachusetts  US,207 Emmerich Skyway,Somerset,Massachusetts,Bristol County,25005,02725,41.72133320437417,-71.14622234258701,21787.38,537501.10,121579
30892c0e-3c24-c1e5-2cc8-5ed0cae8c14c,2002-01-05,,999-59-2577,S99996405,X68951521X,Mr.,Marcelino,Daniel,,,,white,nonhispanic,M,Norwood  Massachusetts  US,483 Green Park Unit 85,Bedford,Massachusetts,Middlesex County,25017,01730,42.48565161435731,-71.32500399153726,27005.35,4518.73,36144
